Pun10.sorted.bam	13052702
Pun11.sorted.bam	18747026
Pun12.sorted.bam	21884381
Pun13.sorted.bam	13401608
Pun14.sorted.bam	7813427
Pun15.sorted.bam	6919122
Pun16.sorted.bam	16566191
Pun17.sorted.bam	24920710
Pun18.sorted.bam	22380175
Pun19.sorted.bam	17096275
Pun1.sorted.bam	23139967
Pun20.sorted.bam	17411518
Pun21.sorted.bam	16293911
Pun22.sorted.bam	16909931
Pun23.sorted.bam	16280831
Pun24.sorted.bam	12222529
Pun25.sorted.bam	19449172
Pun26.sorted.bam	22622741
Pun27.sorted.bam	26916882
Pun28.sorted.bam	23898528
Pun29.sorted.bam	22816250
Pun2.sorted.bam	9511168
Pun30.sorted.bam	15895883
Pun3.sorted.bam	22029731
Pun4.sorted.bam	13766781
Pun5.sorted.bam	12829230
Pun6.sorted.bam	15544554
Pun7.sorted.bam	12411346
Pun8.sorted.bam	6833757
Pun9.sorted.bam	33709468
Sin10.sorted.bam	28416737
Sin11.sorted.bam	20880571
Sin12.sorted.bam	22952024
Sin13.sorted.bam	18319345
Sin14.sorted.bam	13276115
Sin15.sorted.bam	13388876
Sin16.sorted.bam	12257681
Sin17.sorted.bam	38846178
Sin18.sorted.bam	40286552
Sin19.sorted.bam	30016710
Sin1.sorted.bam	15549681
Sin20.sorted.bam	37757301
Sin21.sorted.bam	34841535
Sin22.sorted.bam	32260899
Sin2.sorted.bam	16925667
Sin3.sorted.bam	22195300
Sin4.sorted.bam	21247117
Sin5.sorted.bam	12149412
Sin6.sorted.bam	21035557
Sin7.sorted.bam	14613263
Sin8.sorted.bam	6834582
Sin9.sorted.bam	24742381
Tym10.sorted.bam	21845785
Tym11.sorted.bam	31253541
Tym12.sorted.bam	31890143
Tym13.sorted.bam	15912501
Tym14.sorted.bam	16065113
Tym15.sorted.bam	26141678
Tym16.sorted.bam	12222239
Tym18.sorted.bam	27339365
Tym19.sorted.bam	20798942
Tym20.sorted.bam	20921277
Tym22.sorted.bam	17137697
Tym23.sorted.bam	15237965
Tym24.sorted.bam	13677111
Tym25.sorted.bam	32437009
Tym26.sorted.bam	23437921
Tym2.sorted.bam	21087758
Tym3.sorted.bam	20239835
Tym4.sorted.bam	12895429
Tym5.sorted.bam	14885793
Tym6.sorted.bam	8886308
Tym7.sorted.bam	17787628
Tym8.sorted.bam	11774565
Tym9.sorted.bam	25619915
