Biwa_P_pun10_S10_L001_R1_001.fastq	8472938
Biwa_P_pun11_S11_L001_R1_001.fastq	11908118
Biwa_P_pun12_S12_L001_R1_001.fastq	13823617
Biwa_P_pun13_S13_L001_R1_001.fastq	8606760
Biwa_P_pun14_S14_L001_R1_001.fastq	4987380
Biwa_P_pun15_S15_L001_R1_001.fastq	4479155
Biwa_P_pun16_S16_L001_R1_001.fastq	10759661
Biwa_P_pun17_S17_L001_R1_001.fastq	15902282
Biwa_P_pun18_S18_L001_R1_001.fastq	14567126
Biwa_P_pun19_S19_L001_R1_001.fastq	10941666
Biwa_P_pun1_S1_L001_R1_001.fastq	14770290
Biwa_P_pun20_S20_L001_R1_001.fastq	11293011
Biwa_P_pun21_S21_L001_R1_001.fastq	10645562
Biwa_P_pun22_S22_L001_R1_001.fastq	10771410
Biwa_P_pun23_S23_L001_R1_001.fastq	10479350
Biwa_P_pun24_S24_L001_R1_001.fastq	7806834
Biwa_P_pun25_S25_L001_R1_001.fastq	12537454
Biwa_P_pun26_S26_L001_R1_001.fastq	14657517
Biwa_P_pun27_S27_L001_R1_001.fastq	17657391
Biwa_P_pun28_S28_L001_R1_001.fastq	15852708
Biwa_P_pun29_S29_L001_R1_001.fastq	14850756
Biwa_P_pun2_S2_L001_R1_001.fastq	5989271
Biwa_P_pun30_S30_L001_R1_001.fastq	10559802
Biwa_P_pun3_S3_L001_R1_001.fastq	14089902
Biwa_P_pun4_S4_L001_R1_001.fastq	8764304
Biwa_P_pun5_S5_L001_R1_001.fastq	8240140
Biwa_P_pun6_S6_L001_R1_001.fastq	9858836
Biwa_P_pun7_S7_L001_R1_001.fastq	8038306
Biwa_P_pun8_S8_L001_R1_001.fastq	4394884
Biwa_P_pun9_S9_L001_R1_001.fastq	21492519
